# 反向缺口判定账本 —— origin/1.21.1 有、origin/26.1 没有的类，逐条判定去向
#
# 目的：**真动手实现时不必再查一遍。** 本仓库 1600+ 个源文件，重查一次代价很高。
# 由 docs/tools/host_gap.py --ledger 双向核对，账本与现实脱节即非 0 退出。
#
# 列： 路径(去 src/main/java/ 前缀) 	 行数 	 一句话说明 	 26.1 承接者 	 判定 	 备注
# 判定： 替换=功能还在只是换了实现/位置 · 生态=对应模组在 26.1.2 Fabric 上不存在
#        丢失=没有承接者，相对行为基准真少了东西 · 无关=死代码/与玩法无关 · 待定

com/github/tartaricacid/touhoulittlemaid/entity/chatbubble/ChatBubbleManger.java	30	旧聊天气泡管理器（类名拼写有误）	entity/chatbubble/ChatBubbleManager	替换	只是改掉了拼错的类名
com/github/tartaricacid/touhoulittlemaid/entity/data/MaidTaskDataMaps.java	103	女仆任务数据的映射缓存	未找到	待定	子代理报「未找到」，**主模型尚未复核**；1.21.1 里被 EntityMaid/TaskDataRegister/InitTaskData 引用
com/github/tartaricacid/touhoulittlemaid/entity/data/TaskDataRegister.java	81	任务数据类型的注册表与编解码	未找到	待定	子代理报「未找到」，**主模型尚未复核**；同上，是一整套任务数据机制
com/github/tartaricacid/touhoulittlemaid/entity/info/models/ServerChairModels.java	49	服务端侧的椅子模型数据管理	未找到	待定	子代理报「未找到」，**主模型尚未复核**；1.21.1 里被 ServerCustomPackLoader 引用，26.1 有同名 ServerCustomPackLoader
com/github/tartaricacid/touhoulittlemaid/entity/passive/DefaultMaidSoundPack.java	14	默认女仆音效包的选择	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/entity/passive/MaidGameRecordManager.java	98	女仆棋类对战的记录与胜负状态	entity/passive/MaidGameManager + entity/data/GameData + InitDataAttachment.GAME	替换	**主模型改判**：子代理按类名搜报「未找到」，实为宿主把它重构成了 MaidGameManager，状态改存 GameData 数据附件。且 MaidGameManager.tick() **保留了 !(getVehicle() instanceof EntitySit) 判据**——那正是上游 #912（棋盘被破坏后女仆卡在棋局状态）的自愈机制，26.1 这里是对的
com/github/tartaricacid/touhoulittlemaid/inventory/chest/BarrelChestType.java	28	木桶作为女仆可用容器的判定	未找到	待定	子代理报「未找到」，**主模型尚未复核**；箱子类型一簇（4 个）
com/github/tartaricacid/touhoulittlemaid/inventory/chest/ChestManager.java	38	女仆可用容器类型的管理与注册	未找到	待定	子代理报「未找到」，**主模型尚未复核**；箱子类型一簇（4 个），1.21.1 里被 ILittleMaid/IChestType 引用
com/github/tartaricacid/touhoulittlemaid/inventory/chest/SnackCabinetType.java	27	小食柜作为女仆可用容器的判定	未找到	待定	子代理报「未找到」，**主模型尚未复核**；箱子类型一簇（4 个）
com/github/tartaricacid/touhoulittlemaid/inventory/chest/VanillaChestType.java	31	原版箱子作为女仆可用容器的判定	未找到	待定	子代理报「未找到」，**主模型尚未复核**；箱子类型一簇（4 个）
com/github/tartaricacid/touhoulittlemaid/inventory/container/backpack/CraftingTableBackpackContainer.java	134	工作台背包的容器与合成逻辑	未找到	丢失	【已补回 60aa8dcc6】背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/inventory/container/backpack/EnderChestBackpackContainer.java	33	末影箱背包的容器	未找到	丢失	【已补回 8efc995d4】背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/inventory/container/backpack/FurnaceBackpackContainer.java	97	熔炉背包的容器与烧炼进度	未找到	丢失	【已补回 40b8cfde0】进度条走 addDataSlots(ContainerData)（26.1.2 仍在，与基准同路）。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/inventory/container/backpack/TankBackpackContainer.java	104	液体背包的容器与流体操作	未找到	丢失	【已补回 ff7ee685d】data slot 载 int 低位 + SyncFluidAmountPackage 载精确 long，行为基准同款。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/inventory/handler/MaidHandsInvWrapper.java	19	女仆手持栏的物品栏包装与校验	未找到	待定	子代理报「未找到」，**主模型尚未复核**；可能随 itemhandler→transfer 整包替换一起走了
com/github/tartaricacid/touhoulittlemaid/inventory/tooltip/BoardStateTooltip.java	20	棋盘状态的提示框内容	未找到	丢失	【已补回 be630452f】棋局系统一簇：26.1 仍有 BlockGomoku/BlockCChess/BlockWChess 三种棋盘方块，但棋盘状态物品与对战记录这一层没了。**需确认棋盘方块在 26.1 上还能不能正常玩**
com/github/tartaricacid/touhoulittlemaid/inventory/tooltip/YsmMaidInfo.java	7	女仆模型信息（YSM 用）	未找到	生态	YSM 在 26.1.2 Fabric 上不存在
com/github/tartaricacid/touhoulittlemaid/item/ItemBoardState.java	115	棋盘状态物品：存棋局数据	未找到	丢失	【已补回 c47fd7572+d78f1ba29（审计补 getTooltipImage/Shift 提示行）+a08bf30e8（zh_cn 基准译文）】棋局系统一簇：26.1 仍有 BlockGomoku/BlockCChess/BlockWChess 三种棋盘方块，但棋盘状态物品与对战记录这一层没了。**需确认棋盘方块在 26.1 上还能不能正常玩**
com/github/tartaricacid/touhoulittlemaid/item/ItemEntityPlaceholder.java	110	祭坛配方的结果物品与其可视化	未找到	待定	子代理报「未找到」，**主模型尚未复核**；26.1 仍有祭坛，需确认配方产物现在是什么
com/github/tartaricacid/touhoulittlemaid/item/ItemFairySpawnEgg.java	46	小妖精刷怪蛋	未找到	待定	子代理报「未找到」，**主模型尚未复核**；1.21.1 里由 InitItems 注册
com/github/tartaricacid/touhoulittlemaid/item/ItemHakureiGohei.java	129	博丽御币武器与多方块交互	item/ItemGohei	替换	26.1 改名为 ItemGohei
com/github/tartaricacid/touhoulittlemaid/item/ItemMonsterList.java	20	怪物列表物品（1.21.1 上已弃用）	未找到	无关	1.21.1 里已无引用者
com/github/tartaricacid/touhoulittlemaid/item/ItemTankBackpack.java	79	液体背包物品与流体显示	未找到	丢失	【已补回 ff7ee685d】TANK_BACKPACK_TAG 数据组件宿主删功能时留了下来，直接用。背包四型：工作台/末影箱/熔炉/液体，行为基准上是 9 种背包，宿主只剩 5 种
com/github/tartaricacid/touhoulittlemaid/ai/service/function/FunctionCallRegister.java	30	旧工具函数注册（1.5.1 起弃用）	Skill 机制（SkillBean/SkillLoader）	替换	
com/github/tartaricacid/touhoulittlemaid/ai/service/function/IFunctionCall.java	65	旧工具函数接口（1.5.1 起弃用）	Skill 机制	替换	
com/github/tartaricacid/touhoulittlemaid/ai/service/function/response/ToolResponse.java	5	旧工具函数返回值（1.5.1 起弃用）	Skill 机制	替换	
com/github/tartaricacid/touhoulittlemaid/compat/rei/MaidREIClientPlugin.java	97	REI 客户端插件：注册祭坛配方与容器点击	未找到	丢失	⚠️ **顺序依赖（2026-08-14 读码确认）**：MaidREIClientPlugin 要给 CraftingTableBackpackContainerScreen / FurnaceBackpackContainerScreen 注册点击区，并给 CraftingTableBackpackContainer / FurnaceBackpackContainer 注册转移处理器，BackpackTransferHandler 更是整个建立在这两个容器上——**REI 必须排在背包四型之后**。另：本簇不是「搬」而是「重写」——基准的取配方走我们自己的 ClientAltarRecipeCache（§3.K，未搬），而宿主已有 ClientRecipeEvent.ALTAR_RECIPES（List<RecipeHolder<AltarRecipe>>，数据更全），应改用后者。依赖本身可用：maven.shedaniel.me 可达，REI 26.1.819 与 architectury 20.0.12+fabric 均已实测可解析下载。
com/github/tartaricacid/touhoulittlemaid/compat/rei/altar/ReiAltarRecipeCategory.java	94	REI 里的祭坛配方分类展示	未找到	丢失	同上（REI 簇，须排在背包四型之后）
com/github/tartaricacid/touhoulittlemaid/compat/rei/altar/ReiAltarRecipeDisplay.java	58	REI 祭坛配方的数据模型	未找到	丢失	同上（REI 簇，须排在背包四型之后）
com/github/tartaricacid/touhoulittlemaid/compat/rei/altar/ReiAltarRecipeMaker.java	29	REI 祭坛配方工厂	未找到	丢失	同上（REI 簇，须排在背包四型之后）
com/github/tartaricacid/touhoulittlemaid/compat/rei/transfer/BackpackTransferHandler.java	57	REI 往女仆背包转移物品	未找到	丢失	同上（REI 簇，须排在背包四型之后）
com/github/tartaricacid/touhoulittlemaid/compat/jei/MaidPlugin.java	79	JEI 插件主类：注册祭坛与背包	compat/jei/MaidJeiPlugin	替换	JEI 依赖仍激活，entrypoint 也在
com/github/tartaricacid/touhoulittlemaid/compat/jei/altar/AltarRecipeMaker.java	41	JEI 祭坛配方导入	compat/jei/altar/AltarRecipeCategory	替换	
com/github/tartaricacid/touhoulittlemaid/compat/jei/altar/AltarRecipeWrapper.java	35	JEI 祭坛配方展示包装	并入 AltarRecipeCategory	替换	
com/github/tartaricacid/touhoulittlemaid/compat/jei/altar/EntityPlaceholderSubtype.java	19	JEI 变体分类（祭坛产物）	未找到	待定	子代理报「未找到」，**主模型尚未复核**；与 ItemEntityPlaceholder 同一簇，一起判
com/github/tartaricacid/touhoulittlemaid/compat/ysm/YsmCompat.java	51	YSM 兼容层	无	生态	YSM 在 26.1.2 Fabric 上不存在（审计 §2.2），且 YSM 移植本身是独立前置项目
com/github/tartaricacid/touhoulittlemaid/compat/ysm/event/OpenYsmMaidScreenEvent.java	31	YSM 屏幕事件	无	生态	YSM 在 26.1.2 Fabric 上不存在（审计 §2.2），且 YSM 移植本身是独立前置项目
com/github/tartaricacid/touhoulittlemaid/compat/ysm/event/UpdateRemoteStructEvent.java	35	YSM 结构更新事件	无	生态	YSM 在 26.1.2 Fabric 上不存在（审计 §2.2），且 YSM 移植本身是独立前置项目
com/github/tartaricacid/touhoulittlemaid/compat/ysm/event/YsmMaidClientTickEvent.java	29	YSM 客户端 tick 事件	无	生态	YSM 在 26.1.2 Fabric 上不存在（审计 §2.2），且 YSM 移植本身是独立前置项目
com/github/tartaricacid/touhoulittlemaid/compat/patchouli/AltarRecipeComponent.java	98	手册里的祭坛配方页面组件	compat/patchouli/PatchouliCompat	待定	子代理报「未找到」，**主模型尚未复核**；Patchouli 依赖已注释，我们维护的 fork 需跟进到 26.1 beta
com/github/tartaricacid/touhoulittlemaid/compat/patchouli/MultiblockRegistry.java	26	手册的多方块结构注册	compat/patchouli/PatchouliCompat	待定	同上
com/github/tartaricacid/touhoulittlemaid/compat/patchouli/OpenDefaultBook.java	17	打开默认手册	compat/patchouli/PatchouliCompat	待定	同上
com/github/tartaricacid/touhoulittlemaid/compat/carryon/RenderFixer.java	21	Carry On 抱起女仆时的渲染修正	未找到	丢失	⚠️ Carry On 在 26.1.2 上有正式版（2.10.0），依赖被注释是宿主没接回，不是生态问题
com/github/tartaricacid/touhoulittlemaid/compat/patpat/PatPatRenderer.java	11	摸头动画里的女仆模型渲染	compat/patpat/PatPatCompat	替换	PatPat 有 26.1 正式版，依赖被注释
com/github/tartaricacid/touhoulittlemaid/compat/sodium/SodiumGeoRenderer.java	230	Geckolib 与 Sodium 的渲染适配	compat/sodium/SodiumCompat	替换	
com/github/tartaricacid/touhoulittlemaid/compat/tbackpack/TBackpackCompatInner.java	10	旅行者背包兼容内层	compat/tbackpack/TBackpackCompat	替换	
com/github/tartaricacid/touhoulittlemaid/compat/extracontainer/accessories/AccessoriesSlotRef.java	39	Accessories 槽位引用	compat/.../curios/CuriosSlotRef	替换	Accessories 无 26.x，改走 Curios/Trinkets
com/github/tartaricacid/touhoulittlemaid/datapack/BoardStateData.java	59	棋局状态的持久化	未找到	丢失	【已补回 bbd3b6f45】棋局系统一簇（见 ItemBoardState / MaidGameRecordManager）
com/github/tartaricacid/touhoulittlemaid/datapack/pojo/BoardStateRecord.java	17	棋局状态记录	未找到	丢失	【已补回 bbd3b6f45】棋局系统一簇（见 ItemBoardState / MaidGameRecordManager）
com/github/tartaricacid/touhoulittlemaid/datapack/resources/BoardStateDataReloadListener.java	63	棋局数据的重载监听	未找到	丢失	【已补回 bbd3b6f45】棋局系统一簇（见 ItemBoardState / MaidGameRecordManager）
com/github/tartaricacid/touhoulittlemaid/loot/LootTableTypeCondition.java	57	按战利品表类型过滤的条件	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/loot/RandomBoardStateFunction.java	100	随机棋局作为战利品	未找到	丢失	【已补回 ba5b8af65+b4fc6feff】棋局系统一簇（见 ItemBoardState / MaidGameRecordManager）
com/github/tartaricacid/touhoulittlemaid/loot/SetTankCountFunction.java	89	设定液体背包容量的战利品函数	未找到	丢失	【已补回 ff7ee685d】按宿主 MapCodec 形态（getType→codec）；chest/tank_backpack 产物与基准 hash 相同，注入 NETHER_BRIDGE。液体背包一簇（见背包四型）
com/github/tartaricacid/touhoulittlemaid/network/message/SyncFluidAmountPackage.java	36	液体量同步包	未找到	丢失	【已补回 ff7ee685d】S2C 注册 + 客户端接收器 + MaidMiscManager.openMaidGui 发包点三处接线齐。液体背包一簇（见背包四型）
com/github/tartaricacid/touhoulittlemaid/network/message/SyncYsmMaidDataPackage.java	63	YSM 女仆数据同步包	未找到	生态	YSM 在 26.1.2 Fabric 上不存在（审计 §2.2），且 YSM 移植本身是独立前置项目
com/github/tartaricacid/touhoulittlemaid/network/message/YsmMaidModelPackage.java	56	YSM 女仆模型同步包	未找到	生态	YSM 在 26.1.2 Fabric 上不存在（审计 §2.2），且 YSM 移植本身是独立前置项目
com/github/tartaricacid/touhoulittlemaid/config/GeneralConfig.java	21	实例级配置入口	config/CommonConfig	替换	**已复核，子代理报错**：26.1 把 GeneralConfig 改名成了 CommonConfig
com/github/tartaricacid/touhoulittlemaid/config/subconfig/VanillaConfig.java	37	原版模型/纹理替换的五个开关	未找到	丢失	已复核：上游整个删掉了原版替换功能，yukkuri 资源 11→0，渲染器也一并没了
com/github/tartaricacid/touhoulittlemaid/datagen/ItemModelGenerator.java	32	物品模型的数据生成	未找到	待定	子代理报「未找到」，**主模型尚未复核**；datagen 产物，玩家不可见
com/github/tartaricacid/touhoulittlemaid/datagen/tag/TagRecipeSerializer.java	28	标签配方序列化	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/event/food/ConvertFoodEatenEvent.java	34	食物被吃后转换成另一物品的事件	未找到	待定	子代理报「未找到」，**主模型尚未复核**；与 MaidConfig.MAID_EATEN_RETURN_CONTAINER_LIST 可能相关，要一起看
com/github/tartaricacid/touhoulittlemaid/event/food/RemainFoodEatenEvent.java	53	食物吃剩容器的事件	未找到	待定	子代理报「未找到」，**主模型尚未复核**；同上
com/github/tartaricacid/touhoulittlemaid/crafting/FallbackIngredient.java	123	配方材料的后备候选	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/init/InitTaskData.java	15	任务数据的初始化注册	未找到	待定	子代理报「未找到」，**主模型尚未复核**；与 TaskDataRegister/MaidTaskDataMaps 同一簇
com/github/tartaricacid/touhoulittlemaid/molang/parser/ast/DoubleExpression.java	82	Molang 的双精度表达式节点	未找到	替换	molang 解析器在 26.1 有整包重构（见 geckolib3 那批的观察）
com/github/tartaricacid/touhoulittlemaid/api/animation/IChairData.java	38	JS 动画里坐垫乘客数据的接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/animation/ICustomAnimation.java	85	JS 自定义动画的泛型接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/animation/IEntityData.java	26	JS 动画里实体数据的基接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/animation/IMagicCastingAnimationProvider.java	60	施法动画供应接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口；另见 client/animation/gecko/magic/MagicCastingAnimationManager（待定）
com/github/tartaricacid/touhoulittlemaid/api/animation/IMagicCastingState.java	58	施法状态接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/animation/IMaidData.java	302	JS 动画里女仆数据接口（含骨骼与部位）	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/animation/IModelRenderer.java	153	JS 动画里模型渲染接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/animation/IWorldData.java	38	JS 动画里世界数据接口	未找到	替换	已复核：与 animation/script 的 JS wrapper 同一批——Nashorn 动画体系整体被 gecko/molang 绑定取代，这些是它对外的数据接口
com/github/tartaricacid/touhoulittlemaid/api/backpack/IBackpackData.java	15	背包数据接口	未找到	丢失	【已补回 40b8cfde0】接口与基准相同；宿主形态=BackpackStateData 附件（persistent 不同步）+ MaidBackpackManager 惰性绑定与 tick 驱动。**主模型改判（2026-08-14 动手时发现）**：先前记「替换 → IMaidBackpack + MaidBackpackRenderData」是错的。IBackpackData 是**每种背包的持久化数据**接口（熔炉的烧炼进度、液体背包的流体量），与 IMaidBackpack（背包行为）和 MaidBackpackRenderData（渲染）是三件不同的事。26.1 的 api/backpack/ 只有后两者，**没有它**。属背包四型簇，熔炉与液体两种都要用。
com/github/tartaricacid/touhoulittlemaid/api/bauble/IChestType.java	38	女仆可用容器类型的接口	未找到	待定	子代理报「未找到」，**主模型尚未复核**；与 inventory/chest 那 4 个同一簇
com/github/tartaricacid/touhoulittlemaid/api/entity/IMaid.java	268	女仆实体的对外接口	api/entity/ILittleMaid	替换	改名
com/github/tartaricacid/touhoulittlemaid/api/entity/data/TaskDataKey.java	35	任务数据键接口	未找到	待定	子代理报「未找到」，**主模型尚未复核**；与 TaskDataRegister/MaidTaskDataMaps/InitTaskData 同一簇
com/github/tartaricacid/touhoulittlemaid/api/event/AddTopInfoEvent.java	49	The One Probe 信息条事件（原文已大段注释）	未找到	生态	TOP 无任何 26.x
com/github/tartaricacid/touhoulittlemaid/api/event/ConvertMaidEvent.java	44	实体转化为女仆的事件	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/api/event/MaidAfterEatEvent.java	36	女仆进食后的事件	未找到	待定	子代理报「未找到」，**主模型尚未复核**；与 ConvertFoodEatenEvent/RemainFoodEatenEvent 同一簇
com/github/tartaricacid/touhoulittlemaid/api/event/RegisterKubeJSEvent.java	33	KubeJS 注册事件（原文已大段注释）	未找到	生态	KubeJS 的 26.x 仅 NeoForge；且 2026-07-28 已裁决放弃
com/github/tartaricacid/touhoulittlemaid/api/event/client/RenderMaidEvent.java	40	女仆渲染事件（供其它 mod 扩展）	未找到	待定	子代理报「未找到」，**主模型尚未复核**
com/github/tartaricacid/touhoulittlemaid/api/game/gomoku/GomokuCodec.java	120	五子棋棋局的编解码	已补回（api/game/gomoku/GomokuCodec）	丢失	【已补回 e778676cc】**已修复**：残局编解码是「残局道具」这条链路的地基，先补它并加往返测试
cn/sh1rocu/touhoulittlemaid/api/event/AddPackFindersEvent.java	41	资源包查找器事件	PackRepositoryMixin+CustomPackLoader	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，靶点类在 26.1.2 仍存在
cn/sh1rocu/touhoulittlemaid/api/event/EntityJoinLevelEvent.java	43	实体加入世界事件	ServerEntityEvents.ENTITY_LOAD 等	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，靶点类在 26.1.2 仍存在
cn/sh1rocu/touhoulittlemaid/api/event/ExplosionEvents.java	38	爆炸事件框架	26.1 事件体系	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，靶点类在 26.1.2 仍存在
cn/sh1rocu/touhoulittlemaid/api/event/LivingAttackEvent.java	38	生物受攻击事件	MaidAttackEvent 等	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，靶点类在 26.1.2 仍存在
cn/sh1rocu/touhoulittlemaid/api/event/PlayerLoggedInEvent.java	26	玩家登录事件	ServerPlayerEvents.JOIN	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，靶点类在 26.1.2 仍存在
cn/sh1rocu/touhoulittlemaid/api/event/RegisterClientReloadListenersEvent.java	29	客户端重载监听的注册事件	ClientReloadListenerRegistry	替换	已复核：fork 自造的 Forge 风格事件总线整体被换掉，靶点类在 26.1.2 仍存在
cn/sh1rocu/touhoulittlemaid/api/extension/IBlock.java	27	方块扩展接口（自定义破坏粒子等）	未找到	待定	子代理报「未找到」，**主模型尚未复核**；26.1 只有 IBlockExploded / IBlockEntityPersistentData，**子代理先报「保留」，被我质疑后自己更正为未找到**
cn/sh1rocu/touhoulittlemaid/api/extension/IItemRenderer.java	10	物品渲染器扩展接口	未找到	待定	子代理报「未找到」，**主模型尚未复核**
cn/sh1rocu/touhoulittlemaid/api/extension/ILootContext.java	9	战利品上下文扩展	未找到	待定	战利品扩展一簇（ILootTable/ILootContext/LootCollector 等），与 LootTableMixin 同批，需一起判
cn/sh1rocu/touhoulittlemaid/api/extension/ILootTable.java	9	战利品表扩展	未找到	待定	战利品扩展一簇（ILootTable/ILootContext/LootCollector 等），与 LootTableMixin 同批，需一起判
cn/sh1rocu/touhoulittlemaid/api/extension/ILootTableBuilder.java	7	战利品表构建器扩展	未找到	待定	战利品扩展一簇（ILootTable/ILootContext/LootCollector 等），与 LootTableMixin 同批，需一起判
cn/sh1rocu/touhoulittlemaid/api/extension/IPickedResult.java	8	拾取结果扩展	未找到	待定	子代理报「未找到」，**主模型尚未复核**
cn/sh1rocu/touhoulittlemaid/api/mixin/LootCollector.java	33	战利品收集器	未找到	待定	战利品扩展一簇（ILootTable/ILootContext/LootCollector 等），与 LootTableMixin 同批，需一起判
cn/sh1rocu/touhoulittlemaid/mixin/compat/tacz/AbstractGunItemMixin.java	69	TACZ 枪械 的兼容代码：AbstractGunItemMixin	无	丢失	【2026-08-14 改判 生态→丢失】TaCZ Refabricated 已有 26.1.2 分支构件（q14433686-arch 仓库 release 26.1.2_R1，1.21.11 分支实测同源仓库可用；⚠️ 上游明说 1.21.11 与 26.x 是两套实现，mixin 注入点/数据组件须重验）。移植清单与九处注册面见 docs/archive/PORT_TACZ_AND_RANGED_AI.md；common 三件恢复时剥掉 SBW 那一路分发（SBW 无 Fabric 端，swarfare 各行维持生态）。该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
cn/sh1rocu/touhoulittlemaid/mixin/compat/tacz/GunAnimationStateContextMixin.java	43	TACZ 枪械 的兼容代码：GunAnimationStateContextMixin	无	丢失	【2026-08-14 改判 生态→丢失】TaCZ Refabricated 已有 26.1.2 分支构件（q14433686-arch 仓库 release 26.1.2_R1，1.21.11 分支实测同源仓库可用；⚠️ 上游明说 1.21.11 与 26.x 是两套实现，mixin 注入点/数据组件须重验）。移植清单与九处注册面见 docs/archive/PORT_TACZ_AND_RANGED_AI.md；common 三件恢复时剥掉 SBW 那一路分发（SBW 无 Fabric 端，swarfare 各行维持生态）。该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
cn/sh1rocu/touhoulittlemaid/mixin/compat/tacz/LivingEntityShootMixin.java	29	TACZ 枪械 的兼容代码：LivingEntityShootMixin	无	丢失	【2026-08-14 改判 生态→丢失】TaCZ Refabricated 已有 26.1.2 分支构件（q14433686-arch 仓库 release 26.1.2_R1，1.21.11 分支实测同源仓库可用；⚠️ 上游明说 1.21.11 与 26.x 是两套实现，mixin 注入点/数据组件须重验）。移植清单与九处注册面见 docs/archive/PORT_TACZ_AND_RANGED_AI.md；common 三件恢复时剥掉 SBW 那一路分发（SBW 无 Fabric 端，swarfare 各行维持生态）。该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
cn/sh1rocu/touhoulittlemaid/mixin/compat/tacz/ModernKineticGunScriptAPIMixin.java	50	TACZ 枪械 的兼容代码：ModernKineticGunScriptAPIMixin	无	丢失	【2026-08-14 改判 生态→丢失】TaCZ Refabricated 已有 26.1.2 分支构件（q14433686-arch 仓库 release 26.1.2_R1，1.21.11 分支实测同源仓库可用；⚠️ 上游明说 1.21.11 与 26.x 是两套实现，mixin 注入点/数据组件须重验）。移植清单与九处注册面见 docs/archive/PORT_TACZ_AND_RANGED_AI.md；common 三件恢复时剥掉 SBW 那一路分发（SBW 无 Fabric 端，swarfare 各行维持生态）。该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/accessories/AccessoriesCompat.java	65	Accessories 饰品 的兼容代码：AccessoriesCompat	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/accessories/AccessoriesEvent.java	62	Accessories 饰品 的兼容代码：AccessoriesEvent	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/embeddium/EmbeddiumGeoRenderer.java	218	Embeddium 渲染优化 的兼容代码：EmbeddiumGeoRenderer	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/emi/MaidEmiPlugin.java	95	EMI 物品浏览 的兼容代码：MaidEmiPlugin	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/emi/altar/EmiAltarRecipe.java	95	EMI 物品浏览 的兼容代码：EmiAltarRecipe	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/emi/altar/EmiAltarRecipeCategory.java	28	EMI 物品浏览 的兼容代码：EmiAltarRecipeCategory	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/emi/altar/EmiAltarRecipeMaker.java	24	EMI 物品浏览 的兼容代码：EmiAltarRecipeMaker	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
com/github/tartaricacid/touhoulittlemaid/compat/emi/transfer/BackpackRecipeHandler.java	48	EMI 物品浏览 的兼容代码：BackpackRecipeHandler	无	生态	该模组在 26.1.2 Fabric 上不存在（审计 §2.2 逐条实查，含加载器粒度）。删掉是对的，不是回归
